Trend,Sentiment,Last Seen
Ed Davey,0.3712241263247843,2024-06-01 04:19:32.699305
Scholes,0.3512785714285714,2024-05-29 00:20:52.180293
#newsnight,-0.1564624999999999,2024-05-29 01:20:53.237866
Solomon,-0.3907190746753246,2024-05-29 01:20:53.257797
Greater Manchester Police,-0.0388473684210526,2024-05-29 01:20:53.261789
Leeds,0.3191113844488844,2024-05-29 01:20:53.276751
$BOOST,0.4832092105263158,2024-05-29 05:55:41.517726
#WWENXT,-0.1456388888888888,2024-05-29 05:55:41.521708
#longdragon,0.4123285714285714,2024-05-29 05:55:41.530680
dan hodges,-0.210911401098901,2024-05-29 05:55:41.533668
Mavs,0.4009071428571429,2024-05-29 05:55:41.551614
Kyrie,0.238775,2024-05-29 05:55:41.557588
#springwatch,0.2129916666666666,2024-05-31 21:14:57.771289
James Daly,-0.1352797069597069,2024-05-29 05:55:41.575528
greater manchester police,-0.0027684210526315,2024-05-29 05:55:41.597456
mel stride,0.0877135416666666,2024-05-29 05:55:41.604433
Doncic,0.2867727272727273,2024-05-29 05:55:41.606426
Luka,0.1626,2024-05-29 06:20:52.912978
#RoseWednesday,0.5816625,2024-05-29 07:20:52.425644
#Wordle1075,0.3352363636363636,2024-05-29 07:20:52.464519
Timberwolves,0.1908875,2024-05-29 07:20:52.501396
#NationalBiscuitDay,0.3261578056318681,2024-05-31 17:07:58.380649
$boost,0.4734653508771931,2024-05-29 11:57:46.754155
$mvp,0.4553087301587302,2024-05-29 11:57:46.783049
Rich Tea,0.4545052637160633,2024-05-30 09:41:31.251197
Pat Cullen,0.3423142708333332,2024-05-29 11:57:46.824910
Royal Mail,0.1122944688644688,2024-05-29 11:57:46.830892
Mickey Mouse,0.0627854868186826,2024-05-31 17:07:58.398662
#CreweAlex,0.3740266666666666,2024-05-29 11:57:46.859803
Fury,-0.344535819327731,2024-05-29 11:57:46.874743
Dummett,0.4717071428571428,2024-05-29 12:20:56.460699
Cordoba,0.09834,2024-05-29 12:20:56.508539
Custard Creams,0.4418583333333333,2024-05-29 12:20:56.513522
Ritchie,0.4352833333333333,2024-05-29 13:20:56.254617
james daly,-0.1045117647058823,2024-05-29 13:20:56.298477
Custard Cream,0.5155333333333334,2024-05-29 13:20:56.318405
Carl Benjamin,-0.0257357142857143,2024-05-29 13:20:56.324387
#SwiftiesForPalestine,0.2334594426406926,2024-05-31 17:07:58.374648
National Anthem,0.3097228645833333,2024-05-31 17:07:58.424250
yves,0.5189777777777779,2024-05-29 14:20:57.394177
#RaceAcrossTheWorld,0.380993818359375,2024-05-31 17:07:58.329939
Labour,-0.0558216071428571,2024-06-01 04:19:32.671398
#r4today,-0.2177499999999999,2024-05-30 09:41:31.097710
Fiorentina,0.2099110211489898,2024-05-31 17:07:58.359781
#ASongOrMovieForPotatoVariety,0.50246,2024-05-30 09:41:31.108673
HMRC,0.0635859030330881,2024-05-31 17:07:58.355830
North Durham,0.1840882352941176,2024-05-31 18:01:01.953182
"Wordle 1,076 X",-0.007892149029356,2024-05-31 17:07:58.372666
#InsideNo9,0.2680117387820512,2024-05-31 17:07:58.376666
#AdoorableThursday,0.4960199999999999,2024-05-30 09:41:31.133589
Betty,0.3275762834821428,2024-05-31 17:07:58.382643
Hackney,-0.2127661463796619,2024-05-31 17:07:58.370622
Osaka,0.5648043167769731,2024-05-31 17:07:58.413611
Darren Jones,0.1098157812499999,2024-05-30 09:41:31.169475
Vladimir Putin,-0.3286,2024-05-30 09:41:31.178440
Mother Theresa,-0.1910499999999999,2024-05-30 09:41:31.193391
Sydnie Christmas,0.3873882352941176,2024-05-30 09:41:31.200368
El Kaabi,0.0035625,2024-05-30 09:41:31.209336
Glencoe,-0.1303384615384615,2024-05-30 09:41:31.217310
Morning Paul,0.60614,2024-05-30 09:41:31.229270
Wes Streeting,-0.03809375,2024-05-30 09:41:31.238242
Red Bull,0.1919962585591491,2024-05-31 17:07:58.334864
Luke Akehurst,0.147619028580182,2024-05-31 17:07:58.344846
Alfie,0.2144571428571428,2024-05-30 12:43:20.373080
49ers,0.3054546577380952,2024-05-31 17:07:58.386628
#thismorning,0.0134894803113552,2024-05-31 17:07:58.378665
Auba,0.0668303282828282,2024-05-31 17:07:58.393677
Greens,-0.1114963251706932,2024-05-31 17:07:58.389626
Mother Teresa,-0.2673955128205127,2024-05-31 17:07:58.406636
Hunt,-0.0054124999999999,2024-05-30 12:43:20.423990
Tzolis,0.2813524999999999,2024-05-31 17:07:58.395669
taeyong,0.1120855987762237,2024-05-31 17:07:58.408622
#UECL,0.2733003571428571,2024-05-30 12:58:04.177645
Question Time,-0.0882751808608058,2024-05-31 17:07:58.362850
Liz Truss,-0.0399421354166666,2024-05-31 17:07:58.418531
Ross Kemp,0.1298235294117646,2024-05-31 17:07:58.421259
Olympiacos,0.4782467657342657,2024-05-30 14:03:24.045279
Lloyd Russell,-0.0038083333333333,2024-05-30 14:03:24.059198
#bbcqt,-0.0963242857142857,2024-05-30 14:03:24.065239
Corbyn,0.0381697619047619,2024-05-30 14:03:24.089159
State of Play,0.2972505357142856,2024-05-30 14:03:24.102124
$FALX,0.4968714285714286,2024-05-30 15:01:13.942168
Owen,-0.1067941176470588,2024-05-30 15:01:13.974078
#ncfc,0.2853727272727273,2024-05-30 15:01:13.984029
Lord Lucan,-0.1038733333333333,2024-05-30 15:01:14.017848
$BEER,0.4397999999999999,2024-05-30 16:01:13.063533
$falx,0.2664375,2024-05-30 16:01:13.067584
RB Leeds,0.28438125,2024-05-30 16:01:13.096429
Big Meeks,0.3636833333333334,2024-05-30 16:01:13.098419
#FamouslyContained,-0.5267,2024-05-30 16:01:13.099416
Micah,-0.27625,2024-05-30 16:01:13.106393
#KidLitPit,0.5351857142857142,2024-05-30 16:01:13.116363
Trump,0.5156347223414606,2024-06-03 15:08:34.268550
#BBCQT,-0.2488954166666666,2024-05-31 18:01:01.875336
President,0.1062754794730392,2024-06-01 04:19:32.662428
#StateofPlay,-0.05754,2024-05-31 18:01:01.884461
Astro Bot,0.1738643330627705,2024-06-01 04:19:32.680369
Biden,-0.1611277777777778,2024-05-31 18:01:01.894592
#FreeBetFriday,0.5118545454545455,2024-05-31 18:01:01.897581
Piers Morgan,-0.1305409684065933,2024-06-01 04:19:32.693324
Liberty Lane,0.4446578947368421,2024-05-31 18:01:01.903560
#LockHimUp,-0.213890909090909,2024-05-31 18:01:01.904556
America,0.1826201988896519,2024-06-01 04:19:32.677378
Dermot Weld,0.6587052631578947,2024-05-31 18:01:01.914639
Eminem,-0.1248154924242423,2024-06-01 00:00:56.328346
Chris Hayes,0.5101285714285714,2024-05-31 18:01:01.922909
Silent Hill 2,-0.0422806944444444,2024-05-31 18:01:01.924905
Faiza,0.1103230769230769,2024-05-31 18:01:01.929120
clifford lee,0.3637875,2024-05-31 18:01:01.932114
#FridayFeeling,0.381075,2024-05-31 18:01:01.932114
Starmer,0.0695284722222221,2024-06-01 04:19:32.688341
John Burnside,-0.048960641025641,2024-06-01 00:00:56.358246
Dortmund,0.5076769911417884,2024-06-03 15:08:34.250608
Sesko,0.247009249084249,2024-06-01 04:19:32.705284
Trivial,-0.1849076923076922,2024-05-31 18:01:01.949131
Shaboozey Album,0.3401678571428572,2024-05-31 21:14:57.757373
#TOTP,-0.1206726609848484,2024-06-01 00:00:56.302433
#Lionesses,0.2799028538453733,2024-06-01 00:00:56.308413
Hannah Hampton,0.2032,2024-05-31 21:14:57.785276
Phil Bentham,-0.0099276041666666,2024-05-31 21:14:57.788272
Alex Mitchell,0.5135350490196079,2024-06-01 00:00:56.327349
Batman,0.0568707178932178,2024-06-01 00:00:56.344293
Our Kid,0.1825166666666666,2024-05-31 21:14:57.799230
Ben Thaler,0.0745655555555555,2024-05-31 21:14:57.801223
Russo,-0.0134713383838383,2024-06-01 00:00:56.323363
De Almeida,0.3641333333333333,2024-05-31 21:14:57.814175
Hemp,-0.1550902097902097,2024-06-01 00:00:56.331361
Lightning Seeds,0.4801749999999999,2024-05-31 21:14:57.822787
Hampden,-0.3745928571428571,2024-05-31 21:14:57.825780
Trixy,-0.0771681818181818,2024-06-01 00:00:56.324359
#britainsgottalent,0.2436792765567765,2024-06-01 00:00:56.309409
Sarina,0.3967113541666667,2024-06-01 04:19:32.678374
Alesha Dixon,0.1424399999999999,2024-05-31 22:00:57.249569
Stefan,-0.0069749999999999,2024-06-01 00:00:56.312399
Sarries,0.4284882383241757,2024-06-01 04:19:32.695318
Epsom,0.558126923076923,2024-06-01 04:19:32.708274
GB Energy,0.5005526315789474,2024-06-01 04:19:32.703291
#NORvSAR,0.2190611111111111,2024-06-01 00:00:56.318379
Al Nassr,-0.2921272727272727,2024-05-31 22:31:22.900812
Leah,-0.1938708333333333,2024-06-01 00:00:56.336319
Wilder,0.622234273538961,2024-06-03 15:08:34.262577
Kirby,-0.3022326785714285,2024-06-01 00:00:56.334326
Clinton,-0.3577859203296703,2024-06-01 00:00:56.339309
Whisper,-0.0332334821428571,2024-06-01 00:00:56.359243
Carter,0.300480808080808,2024-05-31 22:31:22.923124
Camilla,0.2690030303030303,2024-06-01 00:00:56.350273
MySpace,-0.1003858333333332,2024-06-01 00:00:56.355256
Zhang,0.3016111111111111,2024-06-01 14:27:04.195548
Bethany,0.2818285714285714,2024-05-31 22:31:22.935085
Kemi,0.0453916666666666,2024-06-01 00:00:56.362233
Dodds,0.1378928571428571,2024-05-31 22:31:22.940068
Bellingham,0.5454050299049908,2024-06-03 15:08:34.296645
Ronaldo,0.0621831876456876,2024-06-01 00:00:56.305423
Denise,0.27814,2024-05-31 23:00:49.739013
#thenevermets,0.2877714285714286,2024-05-31 23:00:49.746981
Stanway,0.1288599999999999,2024-05-31 23:00:49.756955
Toone,0.0267749999999999,2024-06-01 00:00:56.333329
St James,0.4410083333333334,2024-05-31 23:00:49.773891
Bright,0.3511366013071895,2024-06-01 00:00:56.353263
Stolas,-0.0998461538461538,2024-06-01 00:00:56.341303
Ronaldinho,0.2682928571428571,2024-06-01 00:00:56.343296
#ENGFRA,0.1029833333333333,2024-06-01 00:00:56.314393
Jake Paul,-0.2964133333333333,2024-06-01 00:00:56.316386
Gracie,0.38245,2024-06-01 00:00:56.342299
Springwatch,0.0654384615384615,2024-06-01 00:00:56.348279
#DoctorWho,-0.06655,2024-06-01 04:19:32.649472
#Smackdown,0.0864743055555556,2024-06-01 04:19:32.652461
shaboozey album,0.351839423076923,2024-06-01 04:19:32.655451
Happy Pride Month,0.7568443050986844,2024-06-02 00:35:55.345192
Ricky September,-0.0410125,2024-06-01 04:19:32.664421
Finetime,0.1096333333333333,2024-06-01 04:19:32.668408
Michael Smith,0.0202499999999999,2024-06-01 04:19:32.682361
Littler,0.3581,2024-06-01 04:19:32.685351
LA Knight,0.3706583333333333,2024-06-01 04:19:32.690334
Ruby,-0.0493749999999999,2024-06-01 04:19:32.697311
New York,0.2667096590909091,2024-06-01 04:19:32.709271
Ncuti,0.27234375,2024-06-01 05:00:56.000697
Nasen Saadi,-0.6586944444444445,2024-06-01 05:00:56.033584
Democrats,0.1543384615384615,2024-06-01 05:00:56.054509
Tosin,0.6451949799679487,2024-06-02 00:35:55.353135
#Caturday,0.466241958041958,2024-06-01 13:00:55.561610
Roofe,0.5508035714285715,2024-06-01 13:00:55.564601
Trev,0.1713149999999999,2024-06-01 13:00:55.565599
Tommy,-0.0063555555555555,2024-06-01 13:00:55.567586
#SaturdayKitchen,0.3593378676470588,2024-06-01 13:00:55.569580
JUNGKOOK,0.6169981375915752,2024-06-02 16:31:29.193595
LGBTQ,0.2007136363636363,2024-06-01 13:00:55.573575
Derby Day,0.5692522619047619,2024-06-01 13:00:55.575564
Champions League Final,0.5415597222222223,2024-06-01 13:00:55.578556
#UKGiftHour,0.649523106060606,2024-06-01 13:00:55.580547
#ASongOrMovieForAllAboutMilk,0.3119375,2024-06-01 13:00:55.581539
Joey,-0.0267330586080585,2024-06-01 13:00:55.584534
#parkrun,0.6092075944888444,2024-06-01 13:00:55.586527
1st of June,0.3286684884559885,2024-06-01 13:00:55.588521
Dot and Bubble,0.4473424851190477,2024-06-02 16:31:29.211356
Bamford,-0.0112558441558441,2024-06-01 13:00:55.593504
Arne,0.4561571428571428,2024-06-01 13:00:55.595497
Godzilla Minus One,-0.0161411309523809,2024-06-01 13:00:55.597487
Bob Monkhouse,0.5224143356643357,2024-06-01 13:00:55.600528
Jacko,-0.0224223809523809,2024-06-01 13:00:55.602520
Qatar,-0.0209293269230768,2024-06-01 13:00:55.605503
Iain,0.1617384615384615,2024-06-01 13:00:55.610485
Brave,0.3387089181286549,2024-06-01 13:00:55.613432
777 Partners,0.1552174999999999,2024-06-01 13:00:55.617423
Game Day,0.0212384615384615,2024-06-01 13:00:55.619412
Moshiri,0.5637066666666667,2024-06-01 13:00:55.623399
Chalobah,0.51620625,2024-06-02 00:35:55.368086
Tommy Robinson,0.5332784561011905,2024-06-03 15:08:34.274715
Ryan Jack,0.2938083333333333,2024-06-01 13:27:05.879944
Welcome Arne,0.5596597222222224,2024-06-01 13:27:05.920809
Jake Bidwell,0.5789500000000001,2024-06-01 13:27:05.931770
Happy New Month,0.6026074561403507,2024-06-01 13:27:05.940770
#XDCTurns5,0.7019860416666668,2024-06-01 14:00:55.736836
#bbcaq,0.0244962499999999,2024-06-01 14:00:55.750791
Parliament Square,0.3016083333333333,2024-06-02 00:35:55.404805
Borna,0.4438666666666666,2024-06-01 14:00:55.766733
Richards,0.2621,2024-06-01 14:00:55.790676
Running Lion,0.0367923076923077,2024-06-01 14:27:04.147696
Chic Colombine,0.1739473684210526,2024-06-01 14:27:04.150693
Buick,0.0966642857142857,2024-06-01 14:27:04.158667
City of Troy,0.7259101027097903,2024-06-02 00:35:55.340204
Ambiente Friendly,0.6572099999999998,2024-06-01 14:27:04.191558
#UCLfinal,0.5735152529761904,2024-06-03 15:08:34.260572
#BATvSAL,0.45042,2024-06-02 00:35:55.349150
Keighran,0.1977,2024-06-02 00:35:55.356127
Prevent,0.55179,2024-06-02 00:35:55.361109
#FruitsInASongOrMovie,0.3979,2024-06-02 00:35:55.363102
seokjin,0.7556499999999999,2024-06-02 00:35:55.366091
#Starliner,0.38506,2024-06-02 00:35:55.370078
#UnwellMoviesOrSongs,0.1777,2024-06-02 00:35:55.371074
Patriots,0.4864777777777777,2024-06-02 00:35:55.374068
Hooligans,0.3424333333333333,2024-06-02 00:35:55.377069
Voyage,0.6479666666666667,2024-06-02 00:35:55.379054
Bath,0.0,2024-06-02 00:35:55.380050
Ferrucci,0.3963333333333333,2024-06-02 00:35:55.382044
Havlin,0.7151250000000001,2024-06-02 00:35:55.384038
Dream Composer,0.6079388888888889,2024-06-02 00:35:55.387028
Michael Dunlop,0.6174999999999999,2024-06-02 00:35:55.390017
Far Right,0.4595249999999999,2024-06-02 00:35:55.394004
Twickenham,0.6333333333333333,2024-06-02 00:35:55.395997
Royal Scotsman,0.58655,2024-06-02 00:35:55.398825
Dykes,0.5301250000000001,2024-06-02 00:35:55.399821
Redcar,0.659823076923077,2024-06-02 00:35:55.402812
Froch,0.4333857142857144,2024-06-02 00:35:55.407784
Hundreds,0.4675399999999999,2024-06-02 00:35:55.410767
Rule Britannia,0.4684285714285714,2024-06-02 00:35:55.413757
Real Madrid,0.52412859375,2024-06-03 15:08:34.248623
Dubois,0.3312840909090909,2024-06-02 00:48:31.728976
Vini,0.5188734374999999,2024-06-02 00:48:31.732739
Adeyemi,0.46885086309523816,2024-06-03 15:08:34.286623
Sheeraz,0.5930874999999999,2024-06-02 00:48:31.736686
Wembley,0.4908111111111111,2024-06-02 00:48:31.738680
Mbappe,0.5781750000000001,2024-06-02 00:48:31.741669
Camavinga,0.5763625,2024-06-02 00:48:31.743663
Maatsen,0.56255,2024-06-02 00:48:31.745657
Stourbridge,0.5962625,2024-06-02 00:48:31.749645
#UFC302,0.426075,2024-06-02 00:48:31.750644
Hummels,0.48471,2024-06-02 00:48:31.754613
#25thTGMA,0.7370285714285715,2024-06-02 00:48:31.757601
Musetti,0.4267166666666666,2024-06-02 00:48:31.761165
Eddie Hearn,0.6282777777777778,2024-06-02 00:48:31.764151
Kevin Campbell,0.75530068627451,2024-06-02 00:48:31.768134
Super Kev,0.742526447368421,2024-06-02 00:48:31.771123
Laurence Fox,0.4604392857142857,2024-06-02 00:48:31.774112
Ally McCoist,0.4942363636363637,2024-06-02 00:48:31.776106
Djokovic,0.4686249999999999,2024-06-02 00:48:31.779096
Courtois,0.5462,2024-06-02 00:48:31.781089
Kepa,0.594181818181818,2024-06-02 00:48:31.784083
Novak,0.608375,2024-06-02 00:48:31.787068
European Cup,0.5772857142857141,2024-06-02 00:48:31.789066
Ammo Williams,0.3959799999999999,2024-06-02 00:48:31.792087
Audi,0.50752,2024-06-02 00:48:31.794064
Father Ted,0.4998333333333333,2024-06-02 00:48:31.800043
Valverde,0.5267,2024-06-02 00:48:31.802033
Turki,0.5976142857142858,2024-06-02 00:48:31.804025
#ufc302,0.5325451388888889,2024-06-02 16:31:29.133581
Champions League,0.6134881439393939,2024-06-02 16:31:29.158541
#QueensberryvsMatchroom,0.3138,2024-06-02 16:31:29.161861
#DORRMA,0.7268818181818182,2024-06-02 16:31:29.165811
#bbclaurak,0.5930208333333333,2024-06-02 16:31:29.182117
Sancho,0.3814625,2024-06-02 16:31:29.189611
Islam,0.5252223214285714,2024-06-02 16:31:29.191600
Look De Vega,0.7199833333333334,2024-06-02 16:31:29.204172
Reus,0.571245,2024-06-02 16:31:29.208155
NICK BALL,0.5251589285714287,2024-06-02 16:31:29.214410
Dustin,0.4153659722222221,2024-06-02 16:31:29.221624
Carvajal,0.6883095238095238,2024-06-02 16:31:29.224624
Ancelotti,0.6974766666666667,2024-06-02 16:31:29.228589
Brandt,0.5706604166666667,2024-06-02 16:31:29.235625
#BVBRMA,0.5559999999999999,2024-06-02 17:08:12.229002
Trey,0.325125,2024-06-02 17:08:12.254976
iwobi,0.4478,2024-06-02 17:08:12.257905
Sharky,0.424375,2024-06-02 17:08:12.264882
#QueensberryVsMatchroom,0.3137999999999999,2024-06-02 18:08:48.602145
Sturridge,0.24605,2024-06-02 18:08:48.603142
#betasquad,0.392175,2024-06-02 18:08:48.604139
Djed Spence,0.4408857142857143,2024-06-02 18:08:48.610119
Armagh,0.5776428571428571,2024-06-02 18:08:48.621082
Iwobi,0.4604714285714286,2024-06-02 18:08:48.629284
Nick Ball,0.507075,2024-06-02 18:08:48.642012
RIP Rob,0.689325,2024-06-03 15:08:34.229671
#VolunteersWeek,0.7463470588235295,2024-06-03 15:08:34.233666
#bgtfinal,0.503890909090909,2024-06-03 15:08:34.235663
$MACHO,0.5327,2024-06-03 15:08:34.239605
#politicslive,0.4644,2024-06-03 15:08:34.242638
Kevin Sinfield,0.60704,2024-06-03 15:08:34.246625
Kemi Badenoch,0.5267875,2024-06-03 15:08:34.254591
Clacton,0.49538,2024-06-03 15:08:34.256586
#RCN24,0.6466615384615385,2024-06-03 15:08:34.259574
Ocon,0.4107571428571429,2024-06-03 15:08:34.264559
Pride,0.6009947368421052,2024-06-03 15:08:34.265566
Maldives,0.6707000000000001,2024-06-03 15:08:34.272470
Morgan Morris,0.6086,2024-06-03 15:08:34.277649
Haas,0.4588,2024-06-03 15:08:34.283702
Trident,0.5516500000000001,2024-06-03 15:08:34.291605
Rugby League,0.5849,2024-06-03 15:08:34.294631
Cory Hill,0.5009333333333333,2024-06-03 15:08:34.299650
Jack Doohan,0.5135,2024-06-03 15:08:34.300638
Classic Rishi,0.5045200000000001,2024-06-03 15:08:34.303644
Tice,0.45609999999999995,2024-06-03 15:08:34.306618
